epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6409602165222168,0.004999999888241291,1.4812910556793213,0.8734824061393738,0.4339691698551178
1,0.8800759315490723,0.004999999888241291,0.3941527307033539,0.8478235006332397,0.43014246225357056
2,0.8900759220123291,0.004999999888241291,0.34062182903289795,0.8950279355049133,0.3175792992115021
3,0.898913562297821,0.004999999888241291,0.30479440093040466,0.9030848741531372,0.28771698474884033
4,0.9022064805030823,0.004999999888241291,0.2924630641937256,0.9010981321334839,0.28339534997940063
5,0.9036926031112671,0.004999999888241291,0.2842879593372345,0.9041233062744141,0.27942216396331787
6,0.906198263168335,0.004999999888241291,0.2730414867401123,0.9032249450683594,0.28406280279159546
7,0.9072104692459106,0.004999999888241291,0.27023887634277344,0.8853434324264526,0.32931581139564514
8,0.9107887148857117,0.004999999888241291,0.25584980845451355,0.9035744667053223,0.28290653228759766
9,0.912921130657196,0.0024999999441206455,0.2458675354719162,0.9050319790840149,0.265735924243927
10,0.9160662889480591,0.0024999999441206455,0.23226042091846466,0.9030951261520386,0.27653443813323975
11,0.9172322750091553,0.0024999999441206455,0.23051021993160248,0.8922723531723022,0.30709904432296753
12,0.9198001623153687,0.0024999999441206455,0.22296501696109772,0.9099041223526001,0.2548535466194153
13,0.9177295565605164,0.0024999999441206455,0.22735220193862915,0.903783917427063,0.2622780501842499
14,0.9196964502334595,0.0024999999441206455,0.21904467046260834,0.9041733741760254,0.2664310336112976
15,0.9195188283920288,0.0024999999441206455,0.22148431837558746,0.8981529474258423,0.28212204575538635
16,0.9223801493644714,0.0012499999720603228,0.21141360700130463,0.914516806602478,0.23733726143836975
17,0.9250779747962952,0.0012499999720603228,0.20220373570919037,0.9124299883842468,0.25205209851264954
18,0.9247244000434875,0.0012499999720603228,0.20321235060691833,0.9129393696784973,0.22964505851268768
19,0.9226311445236206,0.0012499999720603228,0.20959675312042236,0.9115914106369019,0.22854861617088318
20,0.921124279499054,0.0012499999720603228,0.2142529934644699,0.9155950546264648,0.22778689861297607
21,0.9241213798522949,0.0012499999720603228,0.2072087824344635,0.9116512537002563,0.25345927476882935
22,0.9258490204811096,0.0012499999720603228,0.20175452530384064,0.9166831970214844,0.23026368021965027
23,0.9266052842140198,0.0012499999720603228,0.20027393102645874,0.9097542762756348,0.2512354552745819
24,0.9273065328598022,0.0006249999860301614,0.19444093108177185,0.9186601638793945,0.2244173288345337
25,0.9262021780014038,0.0006249999860301614,0.19752013683319092,0.9193590879440308,0.2230348140001297
26,0.9282272458076477,0.0006249999860301614,0.19158846139907837,0.9186900854110718,0.22415833175182343
27,0.9288696050643921,0.0006249999860301614,0.1874644160270691,0.9207268953323364,0.2143888920545578
28,0.9284220933914185,0.0006249999860301614,0.18955528736114502,0.9192991256713867,0.2249464988708496
29,0.9299837350845337,0.0006249999860301614,0.18707352876663208,0.9175020456314087,0.22294700145721436
30,0.9286935329437256,0.0006249999860301614,0.18901421129703522,0.9201276898384094,0.2212323397397995
31,0.9288217425346375,0.0003124999930150807,0.18889902532100677,0.9240315556526184,0.2083791196346283
32,0.929870069026947,0.0003124999930150807,0.18875913321971893,0.9205070734024048,0.22251681983470917
33,0.9307368993759155,0.0003124999930150807,0.18562519550323486,0.9268170595169067,0.212060809135437
34,0.9294607639312744,0.0003124999930150807,0.18664436042308807,0.9212460517883301,0.21286574006080627
35,0.930540919303894,0.00015624999650754035,0.1848471611738205,0.9246807098388672,0.2115740031003952
36,0.9302636981010437,0.00015624999650754035,0.18533779680728912,0.9229232668876648,0.21581050753593445
37,0.9288383722305298,0.00015624999650754035,0.18726466596126556,0.9185601472854614,0.2289065420627594
38,0.9311979413032532,7.812499825377017e-05,0.18102885782718658,0.9236223101615906,0.21950185298919678
