epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.48889973759651184,0.004999999888241291,2.0184597969055176,0.8536340594291687,0.49515801668167114
1,0.8652774095535278,0.004999999888241291,0.4511605501174927,0.8977835774421692,0.3128443956375122
2,0.8781526684761047,0.004999999888241291,0.38015216588974,0.896126389503479,0.3044847846031189
3,0.8872264623641968,0.004999999888241291,0.338104784488678,0.900349497795105,0.27751386165618896
4,0.891886830329895,0.004999999888241291,0.31904861330986023,0.9040834307670593,0.2728128135204315
5,0.8946822881698608,0.004999999888241291,0.3099474012851715,0.908656120300293,0.25115054845809937
6,0.8966870903968811,0.004999999888241291,0.29663708806037903,0.907128632068634,0.2728150188922882
7,0.8969247937202454,0.004999999888241291,0.2991275489330292,0.9068989753723145,0.27280402183532715
8,0.9014891982078552,0.004999999888241291,0.27988919615745544,0.9004993438720703,0.27821266651153564
9,0.9084843993186951,0.0024999999441206455,0.2552265524864197,0.9109123945236206,0.2595877945423126
10,0.9063838124275208,0.0024999999441206455,0.2599949538707733,0.9062501192092896,0.25528138875961304
11,0.9078693389892578,0.0024999999441206455,0.2518938183784485,0.9202374219894409,0.22949083149433136
12,0.909161388874054,0.0024999999441206455,0.2467571198940277,0.9127496480941772,0.23988990485668182
13,0.9109601378440857,0.0024999999441206455,0.24486662447452545,0.9191493988037109,0.22992606461048126
14,0.9120168089866638,0.0024999999441206455,0.24323520064353943,0.9226738214492798,0.21683891117572784
15,0.911369800567627,0.0024999999441206455,0.24283261597156525,0.9089056849479675,0.2551696300506592
16,0.9141616225242615,0.0024999999441206455,0.23274491727352142,0.9200279116630554,0.23056857287883759
17,0.9124816656112671,0.0024999999441206455,0.24056120216846466,0.9158544540405273,0.24507670104503632
18,0.9171649217605591,0.0012499999720603228,0.2241763323545456,0.9254992604255676,0.20973841845989227
19,0.9167208671569824,0.0012499999720603228,0.22309501469135284,0.9211963415145874,0.21589967608451843
20,0.9164617657661438,0.0012499999720603228,0.22321130335330963,0.9193790555000305,0.21670079231262207
21,0.9177194237709045,0.0012499999720603228,0.22121621668338776,0.9248002767562866,0.21382686495780945
22,0.9209166169166565,0.0006249999860301614,0.20883587002754211,0.928644061088562,0.19736714661121368
23,0.9217369556427002,0.0006249999860301614,0.20899057388305664,0.9263579249382019,0.20572054386138916
24,0.9217655062675476,0.0006249999860301614,0.20944547653198242,0.9291635751724243,0.19641077518463135
25,0.9219471216201782,0.0006249999860301614,0.2054399847984314,0.9264575839042664,0.211898535490036
26,0.9218131899833679,0.0006249999860301614,0.2085983157157898,0.9263676404953003,0.20556524395942688
27,0.9217411875724792,0.0006249999860301614,0.2073545604944229,0.9269968271255493,0.20160958170890808
28,0.9245645403862,0.0003124999930150807,0.19721543788909912,0.9266273379325867,0.2077232152223587
29,0.9223242402076721,0.0003124999930150807,0.2076219767332077,0.9301717877388,0.1920025497674942
30,0.9242788553237915,0.0003124999930150807,0.20001216232776642,0.92433100938797,0.21272890269756317
31,0.9224901795387268,0.0003124999930150807,0.20365315675735474,0.929852306842804,0.19131925702095032
32,0.9228255748748779,0.0003124999930150807,0.20267881453037262,0.9311003684997559,0.19684450328350067
33,0.9243770837783813,0.0003124999930150807,0.19851665198802948,0.9316393136978149,0.19489096105098724
34,0.9242651462554932,0.0003124999930150807,0.19800983369350433,0.9302515983581543,0.19140131771564484
35,0.9245686531066895,0.00015624999650754035,0.19941505789756775,0.9329571723937988,0.19145414233207703
36,0.923298716545105,0.00015624999650754035,0.20077067613601685,0.9285941123962402,0.19546224176883698
37,0.9253415465354919,0.00015624999650754035,0.1953832060098648,0.9265375137329102,0.21339687705039978
38,0.9248824119567871,7.812499825377017e-05,0.19507655501365662,0.9309505224227905,0.19544768333435059
